Hindi	Telugu	Similarity_Score
उनहोंने इसे गु स से में न ष ट कर दिया	క రో ధ ంతో దానని ధ వం సం చేసే సి ,	0.5786
आप कया कह रहे हैं ?	నువ వే ం మాటలాడు తుననా వు ?	0.4170
तुमहें याद है जब मैं पह ली बार तुमहारे पास आया था ?	మొ టట మొద టి సారి నేను నీ దగ గ రికి వచచి న పపటి సం గ తి నీకు గుర తు ందా ?	0.5539
मैंने तुमसे कहा था कि अगर तुमने मेरी कोई और चीज तो डी ,	ఇంకా నా వ సతు వు లను ఏ మ ననా నువవు ప గల గొ టట ా వ ంటే ,	0.6124
मैं इस ओ ह दे में हूँ और वे नहीं इसका एक कार ण है .	నేను ఈ సథ ా యి లో ఉండ టా నికి , వాళళు లే కపో వ డానికి ఓ కా రణ ం ఉంది .	0.5806
- मैंने कहा कि हम एक और रा सता खो ज ल ेंगे . - यहाँ कुछ नहीं है .	- మ రో దా రి గు ండా వెళ దా మని అ ననా ను . - ఇకకడ ే మీ లేదు .	0.6490
मैं उसके लिए खा ना ला ई हूँ , जैसे तुमने कहा .	మీ ర డి గి న టట ే , ఆ వి డ కి ఆ హా రం తె చచా ను .	0.6348
पर वा सत व में जिस में मुझे रु चि है , उस में एक वि शे ष परे मी शा मिल है . . .	నాకు బాగా ఆ స కతి కర మెన క థ మా త రం ఒక పరే మి కు ని గురించి . . .	0.6687
तुमहें अब पता होना चाहिए कि इस दु निया में देखा जाना कि तना ख तर ना क है .	ఈ లో క ంలో చూ పు ఉండ టం ఎంత పర మా ద కర మెన ద ో మీరు తెలుసు కో వాలి .	0.6324
सै नि को ं को तैयार करो . सं के त , कोई श बद नहीं .	సే నా ముఖ ము ను ఏ ర పా టు చేయ ండి . సం కే త ాల ే , మాట లు ఉండ కూడ దు .	0.6278
आप ने इसे न ष ट कर दिया .	మీరు దానని ధ వం సం చేసే శా రు .	0.4941
लेकिन मैं तुम दोनों को देख सकता हूँ .	కానీ నేను మీ ఇ దద రి నీ చూడ గల ను .	0.5623
दिल के ठीक ऊ पर एक ता बी ज ज डा हुआ होता है .	ఓ తా య ె త తు హ ృ ద యా నికి కా సత పె నే జ ొ పప ి సతా రని వి ననా ను .	0.5510
चे ट - चे ट !	పా రా హు ష ా ర !	0.5113
उनहें हमारे आ ने की उ म मी द नहीं होगी .	వాళళు మన రా కను ఊ హి సత ూ ఉండ రు .	0.5881
वह कि तनी दू र है ?	అది ఎంత ద ూ రం లో ఉంది ?	0.5342
मैं रा नी के लिए खा ना ला ई हूँ , जैसे तुमने कहा .	మీ ర డి గి న టట ే మ హా రా ణ ి కి ఆ హా రం తె చచా ను .	0.6241
लेकिन पहले , एक म रह म लगा ने वाला आ रही है .	కానీ అంత కు ముందు , ఒక వె ద యు లు వచచి మి మమ లని చూ సతా రు .	0.5957
मैंने हमारे व ं श को बचा या .	మా వం శా నని కా పా డా ను .	0.5327
- यहाँ कोई दूस रा रा सता है ? - नहीं , मुझे कोई दिखा ई नहीं दे रहा .	- ము ందుకు వెళళ డానికి వే రే దా రి ఏ మెనా ఉ ందా ? - లేదు , ఉనన టటు నా కే మీ క న బ డ టం లేదు .	0.6125
हम आप से फिर मिल ेंगे ?	మేము మ ళ లీ నినను కలు సతా మా ?	0.4620
तुमहें नहीं लगता यह अ जी ब है कि उनहोंने हमें कभी नहीं बताया वह कार ण कया था ?	తను ఆ కా రణ ం మన కి ఎపపుడూ చెపప కపో వడం నీకు వి ంత గా అనిపి ంచ లేదా ?	0.6056
और जब वे अस फ ल रहे , मेरे पास एक ही वि कल प था :	మరి వాళళు వి ఫ ల మ య యా క , నా ముందు ఒక ే దా రి మి గి లి ఉ ండి ంది :	0.5870
हम एक दूस रे को कभी नहीं समझ पा एँ गे .	నిజంగా మనం ఒక రి కొ క రం ఎపపుడూ అరథం చేసు కో లేదు .	0.5753
मैंने तुमहारी जि द , तुमहारे आ त म - वि ना श की कहा निया ँ सु नी थी ं .	నీ మొ ండి త నం గురించి , అలాగే నీ స వీ య వి నా శ క వె ఖ రి గురించి చాలా క థ లు వి ననా ను .	0.6071
मुझे लगता है कि यह मेरे पिता के लिए अ लग नहीं था .	మా నానన కి కూడా అలాగే అనిపి ంచ ంద ను కుంటా .	0.5683
और अ ग ली के न उ त त रा धि कार तुम हो .	మరి త దు పరి అస లె న కే న వా ర సు ర ాలి వి నీ వే .	0.5938
कया बच चे जानते हैं ?	పిలల ల కి తెలుసా ?	0.4712
हम करी ब र हें गे .	మనం దగగర గా నే ఉంటా ం .	0.5061
म गर , मा घ रा , अगर तुमहें उस पर भ रो सा हो तो बात अ लग है .	ఒక వే ళ మా గ రా , నీకు అత డి మీద న మమ క ము ంటే తపప .	0.6598
इन पे ड ों से परे एक पु ल है .	వ ృ కష ాలు దా ట గా నే ఒక వ ంత ె న ఉంటుంది .	0.5769
उ ल लू नहीं है . वह एक आदमी है .	గు డ ల గ ూ బ కాదు . మని షి ది .	0.6295
य दि तुम इस दु निया का नि र मा ण कर रहे हो . . .	మీరు పర ప ంచా నని ని ర మి ంచ ద లి సతే . . .	0.6343
ठीक है , जाओ . जाओ , अभी .	సరే మరి , వెళళ ండి . ఇక వెళళ ండి .	0.4632
आप ने अभी बताया कि हम पार कर सकते हैं .	మేము వెళళ వచచ ని ఇ పపుడ ే అ ననా వే .	0.5923
कोई कं जु आ नहीं है .	అస లు కం జు వా అ నే దే లేదు .	0.5029
हम अ लग - अ लग दु निया में नहीं रह ते .	మన పర ప ంచ ాలు వే ర వే రు కాదు .	0.5711
मैं जान ना चाहता हूँ कि उसने यह कैसे किया .	అతను అద ె లా చేశా డ ో నాకు తెలియ ాలి .	0.5260
इस तरह की मार से अ त य धि क पी डा पहु ँच ने पर भी खा मो श ी .	భ రి ంచ లే ని బా ధ ను కలి గి ంచు సమ య ము న ని శ బ ద ం .	0.6852
अ चा न क उन में द या की भा व ना आ जा ती है , उन का सं कल प कम जो र हो जा ता है . . .	ఉనన టటు ండి జ ాలి తో సత మ త వ వడం , వారి సం కల పం స నన గి లల డం . . .	0.6754
“ परे एक न ई दु निया है .	" ఓ కొతత పర ప ంచ ం ముందు ఉనన ది .	0.5572
आप जल द ही ठीक हो जाएँ गी , और हम कं जु आ लौ ट ेंगे .	మీరు త వర గా నే కో లు కుంటా రు , తిరిగి మనం కం జు వా కి చే రు కుంటా ము .	0.5914
मैं जान ना चाहता हूँ किस चीज के लिए हम सभी ने इतना ब लि दा न दिया .	మన మ ంతా ఇంత త యా గం దే ని కోసం చేశా మో నాకు తెలియ ాలి .	0.5554
और आप ने बस इसे छ ी न लिया .	మరి మీరు ఆ ఆ శ న ంత టి నీ తు ంచే శా రే .	0.5482
मुझे व ै सा कोई प ल नहीं याद जब उनहोंने बि ना दु ख ी हुए उनके बारे में बात की हो .	బా ధ పడ కుండా అమమ ఎపపుడూ తన గురించి మాటలాడ టా నని నేను వి న లేదు .	0.6060
कया कि तनी दू र है ?	ఏ ది ఎంత ద ూ రం లో ఉండే ది ?	0.5191
तुम मेरी बात सुनो . . .	చెపప ే ది వి ను . . .	0.5649
मैं ऐसा बहुत दि नों तक कर ूँगा जब तक तुम मुझे बता नहीं दे ती कि मेरी रा नी कहाँ है .	మా మ హా రా ణ ి ఎ కక డు ందో చెపప ే వర కూ రోజు ల తర బ డి ఇలా చే సత ూ నే ఉంటా ను .	0.6619
तुमहें अपने पिता से बात कर नी चाहिए .	నువవు నీ త ండ రి తో మాటలాడ ాలి .	0.5320
तुम मुझे कं जु आ वापस ले जाना चाहते हो ?	ననను తిరిగి కం జు వా కి తీసు కె ళ దా మ ను కుంటుననా వు కదా ?	0.5445
कभी - कभी अपने बच च ों की सु र कष ा का सबसे अचछा तरी का	ఒక కో సారి , నీ పిలల లను పరి ర కష ి ంచ డానికి గల అత యు తత మ మా రగ ం ఏ ంట ంటే ,	0.5707
मैंने उनहें मर ते हुए देखा .	ఆమె చని పో వడం చూశా ను .	0.4935
बिलकुल नहीं . मेरा परिवार मिल ने तक मैं नहीं जा ऊँ गी .	కు దర దు . నా కుటుం బం య ొ కక ఆ చూ కీ తెలి సే దా కా నే నె కకడి కీ వెళళ ే ది లేదు .	0.5596
जि तनी मेरी इ चछ ा थी , उ तना मैंने तुम पर भ रो सा किया है .	నాకు న చచి న ంత వర కే నీ స హ కా రం తీసు కుననాను .	0.6116
जिस कष ण वे हम में से किसी को सुन ते हैं , जिस कष ण वे हमें मह सू स करेंगे ,	వారు మన అ లి కి డి వి నన మ రు కష ణం , మన లని ప సి గ టటి న మ రు కష ణం ,	0.6458
और जब मैंने भ रो सा किया , त ब याद है , तुमने मुझे कया बताया ?	నీ దగ గ రికి వచచి న పపుడు నువ వే మ ననా వ ో గుర తు ందా ?	0.6255
हर की मत पर एक दूस रे की र कष ा करना .	ఎ టటి పరి సథి తి లలో న ూ ఒక రి కొ క రు ర కష ణ గా ఉండ ండి .	0.5517
ता कि उनहें अपना रा सता मिल जाए .	ఒక త ండ రికి తెలి సు ండ ాలి .	0.4312
लेकिन उसके पास भी द ृ ष टि है , है ना ?	కానీ అత డి కి చూ పు ఉంది కదా ?	0.5707
और उसके लिए कोई कार ण तो जरूर होगा .	దా నికి ఒక కా రణ ం ఉ ండు ండ ాలి .	0.5153
कुछ ऐसा जि से वह बता नहीं सकती . . .	అదే ంట ో చెపప లే కపో తుంది . . .	0.5700
इसका कया मतलब है ?	దా న రథ ం ఏమి టి ?	0.4913
वह बोल ती कयों नहीं ?	ఈ మె ఎందుకు మాటలాడ టం లేదు ?	0.4286
- बस . - यह पा गल प न है .	- ఇక చ ాలు . - ఇది పి చచి పని .	0.5856
हमने उनहें छो डा है .	నిజ ా నికి వది లే సింది మన మే .	0.4401
हम नहीं जानते कौन राज य पर शा स न कर रहा है .	రా జ యా నని ఇపపుడు ఎవరు పరి ర కష ి సతుననా రో కూడా మన కి తె లీ దు .	0.5493
तुमने इसे अपनी नी ंद में सुना .	అది నీ ని దర లో వి ననా వు .	0.5190
मेरे पास कहीं और जगह नहीं है .	ఇం కె కక డా నేను ఉండ లేను .	0.4977
वही एक मा तर दु निया है जिस में मैं रह ता हूँ .	నా పర ప ంచ మ ంతా నువ వ ూ , నీ సో ద రు డే .	0.6111
लड के . . .	పి ల లా డా . . .	0.6200
तुमहारे परिवार के शा स न से पहले अ राज क ता भ यान क थी .	మీ కుటుం బ ప ాల న కు ముందు ఉనన ఆ గ ంద రగ ో ళ పరి సథి తు లు భ యా న క ంగా ఉండే వి .	0.6209
हाँ , मै म .	అలాగే , మే డ మ .	0.5021
पर वे श करो , और मौ त पा ओ गे .	పర వే శి ంచా ర ంటే , మ రణ ం సం భ వి సతుంది .	0.5815
तुमने यही देखा .	నువవు చూ సింది అదే నా ?	0.4264
जे र ला म रे ल . . . तुमहारे पिता हैं ,	జె ర లా మ రె ల . . . మీ త ండ రి ,	0.6523
कया मा घ रा ने तुमहें यह बताया था ?	అది నీకు మా గ రా చెపపి ందా ?	0.4952
इस वि ध र मि यों को अ वि वा दि त रह ने देना . . .	ఆ పా పా నని అలాగే వది లే య డం . . .	0.5547
यह एक ऐ सी चीज है जिस पर हमें पु नर वि चार करना चाहिए .	మనం ఓ విషయం మీద పు న ర ాలో చి ంచ ాలను కుంటా .	0.5561
द ृ ष टि का उ प हा र अं धा हो सकता है .	చూ పు అ నే వ రం , మి మమ లని గు డ డి వాళళ ని చేయ గల దు .	0.6208
इस मा म ले में मेरे पास कोई वि कल प नहीं है , और न ही तुमहारे पास .	ఈ విషయం లో నాకు మ రో దా రి లేదు , నీకు కూడా లేదు .	0.5674
- हाँ . - ठीक है .	- అరథ మె ంది . - సరే మరి .	0.5073
उसे सुन ना , उसे स ूँ घ ना , उसे छ ू ना . . .	తన మాట లను వి న డం , తన వా స నని చూడ టం , త నని తా క డం . . .	0.6326
मैं पै रि स से स हम त हूँ .	నేను ప యా రి స తో ఏ కీ భ వి సతుననాను .	0.5544
मैंने वही किया जि से करने की जरूरत थी .	నేను ఏ ది చేయ ాలో అదే చేశా ను .	0.5153
तो , तुम नि श चि त हो ? चार पह रे दार और उनके बी च में जगह ?	అయితే , నువవు ఖ చచి త మే కదా ? న లు గు రు కా ప లా దా రు లూ , ఇంకా వారి మ ధయ ఉనన ఎ డ ము ?	0.6553
हाँ , है .	అది తే లి కే .	0.3799
और अब , उसके पास तुम दोनों र हो गे .	ఇక ఇ పపటి నుండి , మీ ఇ దద రూ కూడా అతని తో ఉంటా రు .	0.5887
कर म चा री सभी स थ िर हैं , है ना ? के व ल पह रे दार चल रहे हैं ?	అయితే కార మి కు ల ంద రూ ఉనన సథ ా నం లో నే ఉననా రా ? కే వల ం కా ప లా దా రు లే తి రుగు తుననా రా ?	0.6124
यहाँ एक घ ु स पै ठ िया है ! यहाँ कोई है !	ఎవర ో ఆ గ ంత కు డు పర వే శి ంచా డు ! ఇ కకడికి ఎవర ో వచచా రు !	0.5836
रा नी यहाँ है .	మ హా రా ణ ి ఇకకడ ఉంది .	0.4103
हम बु रे देश में हैं , बा बा . अ ध म भ ू मि .	మనం దు ష ట నే లలో ఉననా ం , బా బా . ని య మ ాల లే ని నే లలో ఉననా ం .	0.5955
उनकी ओ र इ शा रा करो .	వాళళు ఎ కక డు ననా రో చూ పి ంచు .	0.5146
- अब वह समय है . - नहीं , ये सच नहीं है .	- ఆ కష ణం ఇపపుడు రా నే వచచి ంది ; - లేదు , అది నిజ ం కాదు .	0.5562
या खुद से ही ज वा ब देना .	ఇం కో టి నా పా ప ంతో నే సమా ధా న మి వ వడం .	0.4945
कया तुमहें याद है कि तुमने कया किया था ?	నువ వే ం చేశా వ ో నీకు గుర తు ందా ?	0.5300
और मैंने इसे हर दिन किया है .	ఆ నా టి ను ండ ీ పర తీ రో జ ూ పో రా డు త ూ నే ఉననా ను .	0.5034
कोई आपके खि ला फ हो गया था . कौन था ?	మీకు వయ తి రే క ంగా ఎవర ో తి రుగు బా టు చేశా రు ? ఎవర ది ?	0.5239
कयों ?	ఎందుకు ?	0.2688
पह रे दार ों .	కా ప లా దా రు లా రా .	0.4258
लेकिन उनहोंने मुझे छोड दिया .	కానీ నన నే వది లే శా రు .	0.4815
मेरी बच ची .	నా చి టటి తల లీ .	0.3509
लेकिन मैं सही था .	కానీ నేను చెపపి ంది నిజ ం .	0.4325
तुम इससे बेह तर जिंदगी की ह क दार थी .	నీకు స రె న నయా యం జ రగ లేదు .	0.5814
मैं ठीक हूँ .	నాకు బాగా నే ఉంది .	0.3797
मैंने सुना है कि जब एक पा यान सम रा ट सि ं हा स न पर च ढ ता है ,	ప యా న రా జు సి ం హా స నా నని అ ధి ష టి ంచే ట పపుడు ,	0.6271
सबसे पहले , वह लड का .	ముందు గా , ఈ కు ర రా డి గురించి .	0.4052
और तुम ठीक नहीं हो .	నీకు ఆ రో గ యం బాగా లేదు కూడా .	0.4504
जो उसके लिए सबसे पया री थी :	తన కి తాను చెపప లే క పోయా డ ని నా అ భి పరా యం .	0.4663
एक न या भगवान भी तर रह ता है .	అందు లో ఓ కొతత దేవు డు ని వా స ము ంటుననా డు .	0.5039
वे अ लग हैं . उनहें इस समय अ लग चीज ों की जरूरत है .	వారి దద రి మన స తత వ ాలు భి నన మెన వి . ఈ కష ణ ా న కూడా వా రికి భి నన మెన వి కావాలి .	0.5645
बहुत अचछ े .	మంచిది .	0.2791
च म डे के , शायद .	తో లు వి , అను కుంటా ను .	0.4749
आप पार नहीं कर सकते .	మీరు వెళళ లే రు .	0.4067
मेरा ड ं डा .	నా కర ర .	0.3467
उ प - श ी र ष क अनु वाद क : ज शन	ఉ ప శ ీ ర షి క లను అ నువ ది ంచిన ది : అ లే ఖ య	0.6421
मैंने चार पह रे दार देख े .	నేను న లు గు రు కా ప లా దా రు లని చూశా ను .	0.4542
कयोंकि मैं उनकी रा नी हूँ .	ఎందుకంటే నేను వారి మ హా రా ణ ి ని కాబటటి .	0.4216
तुमहारे आदमी ?	నీ వాళళ ా ?	0.3833
कया ऐ सी परि स थ ि ति आ ने वाली है ?	అంత వర కూ వ సతు ంద ంటా వా ?	0.5576
एक खो ई हुई माँ , और एक न या पिता .	తల లి ని కో ల పోయింది , ఓ కొతత త ండ రి ని కల వ బో తుంది .	0.5097
तुम गल त हो .	నువవు పొ ర బ డ డా వు .	0.4545
उसे पता है .	అది తన కి తెలుసు .	0.4450
जिस कष ण अ ला र म ब जा , यह स मा प त हो जाएगा .	మి గ తా వారి ని హె చచ రి ంచిన మ రు కష ణం , ఇ ద ంతా వ ృ ధా అయి పో తుంది .	0.5383
पिता जी , मुझे कुछ दिखा ई नहीं दे रहा है .	నా ననా , నా కే మీ క న బ డ టం లేదు .	0.5872
वह अ के ले हों गे .	అతను ఒ ంట రి వా డె పో తా డు .	0.5322
फिर से वि चार करो .	నువవు పు న ర ాలో చి ంచుకో వాలి .	0.4550
वापस जाने के लिए !	జె ర లా మ రె ల తో వెళలి చెపపు !	0.4138
और एक दूस री खि ड की पर .	మర ొ క రు రె ండ వ కి టి కీ వ దద ఉననా రు .	0.5120
यह नहीं रख ता . मैं सिर फ यह पता लगा ने की कोशिश कर रहा हूँ	సం బం ధ ం లేదు . చ ీ క టి ఎంత త వర గా పడు తు ందో	0.6235
हम आ गए हैं .	వచ చేశా ం .	0.4338
के व ल मैं आप की मदद कर सकता हूँ .	ఇకకడ నీకు సా యం చేయ గ లి గి ంది నే న ొ కకడి ని మా తర మే .	0.5327
हाँ .	అవును .	0.2761
उसके दु श मन थे .	తన కి శ తరు వు లు ఉననా రు .	0.4587
हाँ .	అవును .	0.2761
शायद इसलिए कयोंकि नहीं है .	బహు శా అస లు పర మా ద మే లే కపో వడం వ లల కా వచచు .	0.4559
धन ु ष - बा ण है . हमें इस की आ व श य क ता है .	అకకడ ధ నస సు మరి యు బా ణం ఉననా యి . వాటి అవ సరం మన కు ఉంది .	0.6341
हाँ .	అవును .	0.2761
अगर व ै सा समय आया , तो तुमहें स हम ति दे ने की जरूरत नहीं है .	అంత వర కూ వ సతే , నీ స మమ తి తో అవ సరం ఉండ దు .	0.6257
बस कुछ सै निक मेरी सु र कष ा की गा र ं टी दे सकते हैं .	నా భ దర త కి కొ ద ది మ ందే సరి పో తా రు .	0.5991
वह मुझे सुन ना नहीं चाहते .	నా మాట లని ఆ యన అస స లు వి నా లను కో వడం లేదు .	0.5031
ख ै र , वह श ो क म ना रही है .	తను బా ధ లో ఉంది .	0.4921
और मुझे लगता है कि जैसा मैं उनहें क हूँ गी वे व ै सा ही करेंगे . . .	అంతే గా క నేను చెపపి న టట ే వాళళు చేసతా రు . . .	0.6029
वह अ कष म हो सकती है . वह शायद मर गई हो .	ఇపపుడు తను వి క లా ం గుర ాలు అయ యు ండ వచచు . చని పోయి కూడా ఉండ వచచు .	0.5277
यह हम दोनों के लिए कोई वि कल प नहीं है .	మని దద రికీ మ రో దా రి లేదు .	0.4894
मैं कई बात ों की कल प ना कर सकता हूँ .	నేను చాలా నే అను కో గల ను .	0.4813
तो अब कहा नी यह होगी :	ఇక ఇ పప ట ను ండ ీ క థ ఇలా ఉండ బో తుంది :	0.4501
हम हमेशा से रहे हैं .	ఎ పప ట ను ంచ ో అ వి వే ర వే రు పర ప ంచ ాల ే .	0.4209
यह स था न नि र जन है . यहाँ थोडा खत रा है .	ఇకకడ ఎవ వర ూ ని వ సి ంచడం లేదు . ఇది అంత పర మా ద కర మెన చ ో టు కాదు .	0.5985
व ै सा करो .	అలాగే కా ని వ వు .	0.4135
आ ठ बेह तर र हें गे .	ఎ ని మి ది అయితే బాగు ంటుంది .	0.4406
अब . . .	ఇపపుడు . . .	0.5784
सब ठीक है . अब आप सु र कष ि त हैं .	ఏమీ పర వాల ేదు . మీరు ఇపపుడు సు ర కష ి తంగా నే ఉననా రు .	0.5362
मैं तुमहें तुमहारी नी ंद में मार डा ल ूँगी .	నినను ని దర లో నే చం పే సతాను .	0.4781
अं ध े रा होने से पहले च ले जाओ .	చ ీ క టి పడి మీకు క న బ డ క ము ందే ఇ పపుడ ే బయ లు దే ర ండి .	0.5497
तो हम करी ब र हें ?	అయితే మనం దగగర గా నే ఉంటా మా ?	0.4297
का ट ने वाला ! इ ध र आओ !	కో యు వా డా ! కో యు వా డా ! ఇ కకడికి రా !	0.4948
उनहें यह मान ने देना होता है कि आप ने सु र कष ा कर नी बंद कर दी है .	నువవు వి ర మి ంచా వ ని వాళళ కి తెలియ జ ే య డ మే .	0.5918
तो जब वह मर गई ,	కాబటటి అమమ చని పోయి న పపుడు ,	0.3957
ह नि वा खो गई है .	హ నీ వా మన సు వి రిగి పో యు ంది .	0.4658
ये कैसे हुआ ?	అస లు ఇ ద ె లా జరిగి ంది ?	0.4118
शायद . . . शायद यही होता है	బహు శా . . . బహు శా నువవు చేసే కార యం ముఖ య మెన ది ,	0.5101
मेरा चा कू .	నా క త తి . నా క త తి .	0.3249
तुम और कया ह ल करना चाहते हो ?	ఇంకా నువవు దే నని పరి ష కరి ంచుకో వాలి అనుకుంటుననా వు ?	0.4445
अब कया ?	ఇపపుడు ఏంటి ?	0.3264
तुमहारा नाम कया है ?	నీ పే రే ంటి ?	0.3502
जिस दिन से तुम और तुमहारा भा ई पै दा हुए	మీరు పు టటి ననా టి ను ండ ీ ,	0.4905
मैं थ की हुई हूँ .	నేను చచ చే ంత అ ల సి పోయా ను కను క .	0.4499
कया ?	ఏ మె ంది ?	0.2235
हाँ .	సరే మరి .	0.2448
वे आप तक कैसे पहु ँ चे ?	అస లు వీ ళళు మి మమ లని ఎలా ప టటు కో గ లి గా రు ?	0.5075
कम जो र , स वार थी , पि छ डे .	బ ల హ ీ ను లు , స వా రథ ప రు లు , వె ను క బ డ డ వారి ని .	0.6168
किस तरह के जू ते ? कया वे च म डे के हैं ? कया वे ल क डी हैं ?	ఎలా ంటి బ ూ టలు ? తో లు వా ? కల ప వా ?	0.6019
वह यह जान कर हमें यहाँ ला ए .	అది అతనికి తెలి సే ఇ కకడి దా కా మన లని తీసు కొ చచా డు .	0.4392
और दु ख और भ या वह ता ,	దు ర వ సథ లూ , భ యా న క సం ఘ ట న లూ ఎ దు రె నా ,	0.5759
अभी भी तुमहारे मान को ं पर ख रा नहीं है , ह ँ ?	ఇంకా నీకు త గి న టటు లేదా ?	0.5222
फिर मैं हा र गया , रा नी मर गई .	అ పపుడు నేను వి ఫ ల మ య యా నని , మ హా రా ణ ి చని పోయి ందని అరథం .	0.5005
यही सम स या का ह ल है .	మాట ల తో నే ముందు కె ళళ డం సా ధయ మ వు తుంది .	0.5153
मैं करना नहीं चाहता .	అను కో కుండా ఉండ టా నికి పర యత ని సతుననాను .	0.4028
चे ट - चे ट - चे ट !	పా రా హు ష ా ర !	0.4928
कुछ दिन , शायद स पता ह हो गए हैं .	చని పోయి కొనని రోజు లు అయ యు ండ వచచు , వా ర ాలు కూడా అయ యు ండ వచచు .	0.5021
तुम एक सं प त ति हो जिस के साथ मैं बहुत सा व धा न रह ना चाहता हूँ .	నినను అ తి జా గర తత గా చూ సు కుంటా ను .	0.5577
बस बहुत हो गया .	ఇక చ ాలు .	0.4126
कया तुमहारे पास है ?	మరి నువవు ?	0.4062
अन य किसी म हि ला द वा रा .	మ రో మ హి ళ తో .	0.4102
लेकिन अब . . .	కానీ ఇపపుడు చూ సతు ంటే . . .	0.4734
कयोंकि मैं डर ता था .	ఎందుకంటే నే న పపుడు భ య కం పి తు డి నె ఉననా ను .	0.4239
आओ .	పద ండి .	0.3002
मुझे नहीं पता .	తె లీ దు .	0.4035
हमें दे री हो जाए गी .	అలా అయితే పర యా ణ ంలో చాలా రోజు లు పో తా యి .	0.4516
ध व नि जा ल .	శ బ ద ఆ ధా రి త ఉ చచు లు .	0.5259
मुझे जाना होगा .	నేను వది లి పె టటి రా వల సి వచచి ంది .	0.3347
तुम में पर त िर ो ध करने की कष म ता बहुत जयादा है .	నీ ప ంత ం శ కతి వ ంత మెన ది .	0.5449
कया मतलब ?	ఏం అ ంటుననా వు నువవు ?	0.3023
पक का ?	ఖ చచితంగా నా ?	0.2882
जाओ .	ద ూ సు కు పో .	0.2182
हाँ .	తపప కుండా .	0.2538
उ ठ ो , चु डै ल .	పె కి లే య , ప నికి మ ాలి న దా నా .	0.5400
अब . . .	కానీ ఇపపుడు . . .	0.4796
मेरे लिए कि ता ब ें प ढ ना .	నా కోసం పు సత కాల ను చ ద వ ండి . నా కోసం పు సత కాల ను చ ద వ ండి .	0.5310
जब तक वह एक रा कष स में बद ल नहीं गया .	ప కక న పెటట ే దదాం .	0.5143
मेरी बात सुनो .	నేను చెపప ే ది వి న ండి . నా మాట వి న ండి .	0.3468
चलो .	వెళ దాం పద .	0.2350
को फ ु न भी .	కొ ఫ ూ న కూడా బా ధ లో ఉననా డు .	0.4465
हाँ .	అయి పోయింది .	0.2037
नि ः सं दे ह तुम कर सकते हो !	ఉండ గల వు !	0.3856
वो ह .	ఆ గ ండి , ఆ గ ండి .	0.2534
" ह ल " ?	" మాటలా డి పరి ష కరి ంచుకో వ ాలా " ?	0.3232
