नमस्ते	నమస్కారం
तुम्हारा दिमाग़ ख़राब हो गया है?	నువ్వు నిజంగానే అంటున్నావా?
- हटो। - पीछे जाइए, मिस्टर कॉल्डवेल।	- వెళ్లండి. - వెనక్కి వెళ్లండి, మిస్టర్ కాల్డ్వెల్.
तुम्हें उसका ख़याल रखना था।	మీరు మా అబ్బాయిని జాగ్రత్తగా చూసుకుంటాం అన్నారు కదా.
मिस्टर सैबिच, जब डॉल्टन कॉल्डवेल आप पर हमला करने आए, तो क्या आपको डर लगा?	మిస్టర్ సాబిచ్, డాల్టన్ కాల్డ్వెల్ మీ మీదకి దాడి చేయడానికి వచ్చినప్పుడు మీరు భయపడ్డారా?
क्या अभियोजन पक्ष इस तरह की ग़लती से उबर पाएगा?	ప్రాసిక్యూషన్ ఈ పొరపాటు నుంచి కోలుకోగలదు అంటారా?
क्या कॉल्डवेल परिवार इस सब में साथ था?	ఈ నేరం కాల్డ్వెల్ తండ్రీకొడుకులు కలిసి చేశారా?
क्या लगता है इतनी सारी छूटी हुई कड़ियों की जाँच क्यों नहीं की गई?	ఇటువంటి చిన్న ఆధారాల్ని ఎందుకు దర్యాప్తు చేయలేదంటారు?
पता है, जब कोई केस ख़राब दिशा में जाता था, तो रेमंड एक बात कहता था।	కేసు మీద తన పట్టు కోల్పోయినప్పుడు రేమండ్ ఒక మాట అనేవాడు.
वह कहता था, कुछ केस में हालत थोड़ी ख़राब होती है, कुछ में ठीक-ठाक होती है, कुछ में एकदम ख़राब होती है।	మామూలుగా దెబ్బతిన్నాం, ఒక మోస్తరుగా దెబ్బతిన్నాం, బాగా దెబ్బతిన్నాం అని మూడు రకాల గురించి చెప్పేవాడు.
मुझे लगता है हमारे केस की हालत शायद एकदम ख़राब है।	మనం బాగా దెబ్బతిన్నాం అనిపిస్తోంది.
वह एकदम हताश दिखा।	నిస్సహాయ స్థితిలో ఉన్నాడు.
वह अपने अलावा सब पर उँगलियाँ उठा रहा है।	ఈ నేరంలో తన వైపు తప్ప మిగతా అందరి వైపు వేలెత్తి చూపిస్తున్నాడు.
ठीक है।	సరే.
ठीक है। ठीक है।	సరే. సరే.
तो उन्होंने यह तथ्य स्थापित कर दिया कि कोई ऐसा इंसान जिसे कैरोलिन पॉलिमस से नफ़रत थी,	అయితే కారొలిన్ పొలీమస్ మీద ద్వేషం ఉన్నవారు ఆ రాత్రి ఘటనాస్థలం దగ్గర ఉన్నారనీ
वह घटनास्थल पर था और उसे शायद बनी डेविस के केस की बारीकियों की जानकारी थी।	వాళ్లకి బన్నీ డేవిస్ కేసు గురించి కూడా తెలుసని వాళ్లు నిరూపించాలని ప్రయత్నించారు.
वे सबका ध्यान लीयम रेनल्ड्स की तरफ़ ले गए	వాళ్లు లియామ్ రేనాల్డ్స్ పేరు ప్రస్తావించారు
और फिर माइकल का पिता, वह पूरी तरह पागल हो गया था।	ఇంకా ఆ కుర్రవాడి తండ్రి పేరు చెప్పారు, అయితే ఆ తండ్రి సైకోగా ప్రవర్తించాడు.
तो हम... हम... रीगो।	కానీ మనం... మనం... రీగో.
- हमें कमबख़्त रीगो को बुलाना होगा। - रीगो?	- మనం రీగోతో మాట్లాడదాం. - రీగో?
- नहीं, रीगो पूरी तरह रस्टी की तरफ़ है। - हाँ।	- లేదు. రీగో స్పష్టంగా రస్టీ పక్షాన్న ఉంది. - సరే.
यूजीनिया भी थी। सब कुछ सही सवाल पूछने पर निर्भर करता है।	యూజీనియా కూడా అంతే. మనం అడిగే ప్రశ్నలు బట్టి ఉంటుంది.
- रीगो मुझसे नफ़रत करती है। - वह मुझसे नफ़रत नहीं करती। मैं पूछ लूँगा।	- రీగోకి నేనంటే పడదు. - ఆమె నన్నయితే ద్వేషించదు. నేను తనతో మాట్లాడగలను.
- नहीं। - हाँ।	- లేదు. - అవును.
- हाँ। हाँ। - नहीं।	- అవును. అవును. - లేదు.
नहीं, मैं तुम्हें बताता हूँ क्यों।	లేదు, ఎందుకో చెబుతాను విను.
क्योंकि अगर हम रीगो को नहीं बुलाते हैं,	ఎందుకంటే మనం తనతో మాట్లాడకపోతే,
तो हमारी हालत एकदम, बिना किसी भी शक के, बेहद ख़राब हो जाएगी।	మనం నిస్సందేహంగా ఈ కేసులో దెబ్బతినిపోతాం.
- रीगो क्या कहने वाली है? - मुझे नहीं पता।	- రీగో ఏం చెప్పబోతుంది? - నాకు తెలియదు.
नहीं, हद है। बकवास। तुम दोनों दोस्त हो।	లేదు, ఇలా చూడు. అబద్ధం చెప్పకు. మీరిద్దరు ఫ్రెండ్స్ కదా.
- मुझे बताओ वह क्या कहने... - नहीं, तुम दोनों दोस्त हो।	- తను ఏం చెప్పబోతోందో చెప్పు చాలు... - లేదు, మీరిద్దరూ ఫ్రెండ్స్.
वह किस बात की गवाही देने वाली है?	ఆమె దేని గురించి వాంగ్మూలం ఇవ్వబోతోంది?
शायद उसी की जो मैंने देखा था, रस्टी, और जो मैं कमबख़्त इस समय देख रही हूँ।	బహుశా నేను అప్పుడు ఏం చూశానో, రస్టీ, ఇంకా ప్రస్తుతం ఏం చేస్తున్నానో అదే చెప్పబోతోంది.
इसका क्या मतलब है?	నీ ఉద్దేశం ఏంటి?
तुम कमबख़्त क़ाबू से बाहर हो गए हो, जैसे तुम इस समय, यहाँ हो रहे हो।	నువ్వు మతిస్థిమితం కోల్పోతున్నావు, ఈ క్షణం, ఇక్కడ ఎలా ప్రవర్తిస్తున్నావో చూడు.
क्य...	ఏంటి...
तुम जानते हो ना कि मैं गवाही नहीं देना चाहती थी?	చూడు, నేను సాక్ష్యం చెప్పాలని అనుకోలేదు, సరేనా?
मुझे पता है तुम यह बात जानते हो।	ఆ విషయం నీకు కూడా తెలుసని నాకు తెలుసు.
हे भगवान।	ఓహ్, దేవుడా.
क्या मुझसे यह सब समझने में ग़लती हो गई?	ఈ వ్యవహారం అంతా నేను తప్పుగా అర్థం చేసుకున్నానా?
- क्या मुझसे यह... - तुम्हारा क्या...	- నేను తప్పుగా... - ఏం చేయాలి...
कैरोलिन एक नशा थी।	కారొలిన్ డ్రగ్ లాంటిది.
तुम्हें उस नशे की लत थी। लत ज़िंदगियाँ बर्बाद कर देती है।	నీకు ఆమె వ్యసనం అయిపోయింది. వ్యసనాలు జీవితాల్ని నాశనం చేస్తాయి.
भगवान। तुम्हें बर्बाद करना एक बात है,	దేవుడా. అది నిన్ను నాశనం చేసింది,
पर तुम उसे तुम्हारा परिवार बर्बाद नहीं करने दे सकते थे।	కానీ ఆమె నీ కుటుంబాన్ని నాశనం చేయడానికి నువ్వు ఒప్పుకోలేదు.
हे भगवान। मुझे लगता है उस रात उसने तुमसे कहा था...	ఓహ్, దేవుడా. నాకు తెలిసి ఆమె ఆ రాత్రి నీతో చెప్పి ఉంటుంది...
कि वह बच्चे को जन्म देगी, है ना?	తన గర్భంలో ఉన్న నీ బిడ్డకి తను జన్మనిస్తానని, చెప్పిందా?
क्या उसने तुमसे उस रात यह कहा था कि वह बच्चे को जन्म देगी?	ఆ రాత్రి నీ బిడ్డకి తను జన్మనిస్తానని చెప్పింది కదా?
वह उस बच्चे को जन्म देने वाली थी।	ఆమె ఆ బిడ్డకి జన్మ ఇవ్వాలి అనుకుంది.
- तुम्हारे बच्चे को। - मेरी कार से नीचे उतरो।	- నీ బిడ్డ. - నా కారు దిగు.
मेरी कार से नीचे उतरो।	నా కారు నుండి దిగు.
कैरोलिन पॉलिमस के क़त्ल में लीयम रेनल्ड्स का कोई हाथ नहीं था,	కారొలిన్ పొలీమస్ హత్యలో లియామ్ రేనాల్డ్స్ ప్రమేయం ఏమీ లేదు,
और फिर भी तुम दोनों लीयम रेनल्ड्स से मिलने जेल गए थे।	అయినా కూడా మీరిద్దరూ లియామ్ రేనాల్డ్స్ ని కలవడానికి అతను ఉన్న జైలుకి వెళ్లారు.
- क्या यह सही है? - हाँ, हम गए थे।	- అది నిజమేనా? - మేము వెళ్లాం.
क्यों?	ఎందుకు?
इस बात का जवाब रस्टी को देने देते हैं।	దాని గురించి రస్టీని చెప్పనిద్దాం.
अगर तुमने कैरोलिन को मरवाया भी हो,	నువ్వు కారొలిన్ ని నిజంగానే చంపి ఉంటే కూడా,
तब भी यह तुम्हारे लिए फ़ायदेमंद हो सकता है।	అది నీకే మేలు చేస్తుంది.
इस अपराध में तुम्हारा कोई साथी होगा, जिसका मतलब है तुम एक सौदा कर सकते हो।	ఈ నేరంలో నీకు ఎవరైనా సహాయపడి ఉండచ్చు, అంటే నువ్వు అతని పేరు చెప్పడానికి బేరం ఆడచ్చు.
ठीक है, तो ज़रा सोचो,	సరే, మనం ఊరికే అనుకుందాం,
इस वक़्त, तुम बनी डेविस के क़त्ल के जुर्म में उम्र क़ैद भुगत रहे हो।	బన్నీ డేవిస్ ని హత్య చేసిన కేసులో నువ్వు జీవితకాలం శిక్ష అనుభవిస్తున్నావు.
हमें कैरोलिन के क़ातिल तक पहुँचाकर,	కానీ కారొలిన్ హంతకులు ఎవరో నువ్వు చెప్పగలిగితే,
हो सकता है, तुम जेल से आज़ाद हो जाओ, समझ रहे हो?	నువ్వు మళ్లీ జైలు నుండి విడుదల కావచ్చు, తెలుసా?
चाहे क़त्ल में तुम्हारा हाथ ही क्यों ना हो।	లేదా ఆ హత్యలో నీ పాత్ర కూడా ఉండి ఉన్నా కూడా నువ్వు విడుదల కావచ్చు.
अब इसे कहते हैं उलटी गंगा बहना।	ఇప్పుడు అదీ... అదీ వక్రబుద్ధి అంటే.
तो, अगर मैं सही समझ रहा हूँ तो तुम कह रहे हो अगर मैं एक सरकारी वकील के क़त्ल का इल्ज़ाम...	సరే, అయితే, మరింత స్పష్టత కోసం, ఆ ప్రాసిక్యూటర్ హత్య కేసులో నేను కూడా నేరగాడినే అని...
- अगर तुम्हारा कोई साथी हो। - ...अपने सिर ले लूँ,	- నీతో పాటు మరొక నేరగాడు ఉండుంటాడు. - ఒప్పుకుంటే,
- तो मैं आज़ाद हो सकता हूँ? - हाँ।	- నేను విడుదల కావచ్చు అంటున్నావా? - అవును.
यह बात तो निश्चित है कि तुम इस वक़्त उम्र क़ैद की सज़ा भुगत रहे हो, वह भी बिना पैरोल के।	నువ్వు ఇప్పుడు పరోల్ లేని జీవితకాలపు శిక్షని అనుభవిస్తున్నది వాస్తవం.
और मैं तुम्हें इसे बदलने का एक मौक़ा दे रहा हूँ।	ఆ శిక్షని మార్చుకునే అవకాశాన్ని నేను నీకు అందిస్తున్నాను.
ओह, भगवान।	ఓహ్, దేవుడా.
क्या ख़ूबसूरत नज़ारा है।	ఇది చాలా అందంగా ఉంది.
नहीं! हद है।	అయ్యో! దేవుడా.
मुझे बिल्कुल... मुझे इस बारे में कुछ नहीं पता था।	నాకు అసలు... నాకు అసలు ఇవేవీ తెలియవు.
तुम बहुत बुरे फँसे हुए हो।	నువ్వు చాలా ఆత్రుతగా ఉన్నావు.
कैरोलिन पॉलिमस के क़त्ल का इल्ज़ाम अपने सिर लेने के बदले में सज़ा घटाने की पेशकश।	కారొలిన్ పొలీమస్ హత్య కేసులో నేరాన్ని అంగీకరిస్తే శిక్ష తగ్గిస్తానని హామీ ఇచ్చాడు.
मैं वहाँ नहीं थी। मुझे नहीं पता था कि वह ऐसा करने वाला था।	నేను అక్కడ లేను. అతను అలా మాట్లాడతాడని నాకు తెలియదు.
तुमने इस रिश्वत की कोशिश का विरोध किया था?	లంచం ఇవ్వజూపాడని పై అధికారులకి ఫిర్యాదు చేశావా?
आपत्ति!	అబ్జెక్షన్!
- सहमत। - माफ़ी चाहूँगा।	- కానివ్వండి. - క్షమించాలి.
तुमने इस तरीक़े का विरोध किया था?	ఇది తప్పు అని అతనికి ఏమైనా చెప్పావా?
हाँ। जब उसने मुझे बताया कि वहाँ क्या हुआ था, मैंने कहा था कि उसने हद पार कर दी है।	చెప్పాను. అక్కడ ఏం జరిగిందో అతను నాకు చెప్పినప్పుడు, అతను హద్దు మీరాడని చెప్పాను.
हाँ।	సరే.
और उसने कोई जवाब दिया?	దానికి అతను ఏం అన్నాడు?
हाँ, उसने कुछ ऐसा कहा था कि...	అవును, అతను దానికి ఏం చెప్పాడంటే...
यह मेरी ज़िंदगी का सवाल है। मुझे जो करना पड़ेगा, मैं करूँगा।	నా జీవితం ఇప్పుడు ప్రమాదంలో పడింది. దాన్ని కాపాడుకోవడం కోసం నేను ఏదైనా చేస్తాను.
एकदम हीरो की तरह।	గొప్ప హీరో.
जब अभियुक्त ने सबसे पहले तुम्हें इस केस की ज़िम्मेदारी दी थी,	ప్రతివాది మొదటగా నీకు ఈ కేసుని అప్పగించినప్పుడు,
तो क्या सबूतों के संग्रह को लेकर तुम्हें कोई ख़ास निर्देश दिए गए थे?	సాక్ష్యాధారాల్ని సేకరించడంలో నీకు ఏమైనా ప్రత్యేకమైన సూచనలు ఇచ్చారా?
फ़ोरेंसिक और दूसरी तरह के सारे सबूत, सीधे सिर्फ़ और सिर्फ़ उसके पास जाने चाहिए।	అన్ని సాక్ష్యాధారాలు, ఫోరెన్సిక్ ఇంకా మిగతావి అన్నీ, నేరుగా అతనికి మాత్రమే ఇవ్వమని చెప్పారు.
और क्या तुम्हें इस बात को लेकर	ఇంకా ప్రత్యేకంగా ఏమైనా సూచనలు చేశారా
कोई ख़ास निर्देश दिए गए थे	అంటే ఆ సాక్ష్యాధారాలు
कि फ़ोरेंसिक और दूसरे सबूत ख़ास तौर पर किस तक नहीं पहुँचने चाहिए?	ముఖ్యంగా ఫోరెన్సిక్ లేదా మిగతావి కానీ, ఎవరికైనా చేతికందించవద్దని ఆదేశాలు ఇచ్చారా?
मिस्टर मॉल्टो और आप तक।	మిస్టర్ మోల్టో ఇంకా మీకు ఇవ్వద్దు అన్నారు.
निराशाजनक बात है।	అది నిరుత్సాహపరుస్తోంది.
तुम सवाल पूछ सकते हो।	ఇక మీ సాక్ష్యం.
हो गया काम।	ఇంక మొదలుపెట్టు.
मुझे लगा कि मुझ पर ग़लत आरोप लगाए गए हैं, और मैं हर पल अपनी	నా నిర్దోషిత్వాన్ని రుజువు చేసుకోవాలని నేను అన్ని సందర్భాలలో తాపత్రయపడ్డాను,
बेगुनाही साबित करने के लिए बेताब था।	ఎందుకంటే ఈ కేసులో నా మీద తప్పుడు ఆరోపణలు చేశారని నా అభిప్రాయం.
क्या ऐसा कहना सही होगा?	అది సహేతుకమైన స్టేట్మెంట్ కదా?
ठीक है।	సరే.
और कैरोलिन पॉलिमस के क़त्ल में	ఇంకా అన్ని సందర్భాలలోనూ
मैंने लगातार, हर वक़्त ख़ुद के बेगुनाह होने का दावा किया था।	కారొలిన్ పొలీమస్ హత్య కేసులో నేను నిర్దోషిని అనే చెబుతూ వచ్చాను.
- क्या मैंने नहीं किया था? - किया था।	- నేను చెప్పలేదా? - చెప్పావు.
और तुम्हारे अनुभव में, डिटेक्टिव, क्या किसी सरकारी वकील का तुमसे यह कहना असामान्य है	ఇంకా నీ అనుభవంలో, డిటెక్టివ్, కేసు వివరాల్ని మన ఇద్దరి మధ్యలోనే ఉంచాలని
कि कोई जानकारी सिर्फ़ तुम दोनों के बीच रहे?	ఒక ప్రాసిక్యూటర్ నీకు చెప్పడం ఏమైనా అసాధారణ విషయమా?
मेरे अनुभव में, नहीं, यह असामान्य नहीं है।	నా అనుభవంలో, లేదు, అది అసాధారణ విషయం ఏమీ కాదు.
और तुम यह बात जानती हो कि मैंने सबूतों को सिर्फ़ हम दोनों के बीच रखने के लिए	ఆ సాక్ష్యాల వివరాల్ని కేవలం మన ఇద్దరి మధ్యనే ఉంచాలని నేను నీకు చెప్పడానికి కారణం
ख़ास तौर पर इसलिए कहा था क्योंकि मुझे यह यक़ीन नहीं था	ఆ ఇద్దరూ
कि मिस्टर मॉल्टो या मिस्टर डेला गुआर्डिया एक निष्पक्ष जाँच करेंगे।	మిస్టర్ మోల్టో లేదా మిస్టర్ డెల్లా గార్డియా న్యాయబద్ధంగా విచారణ చేస్తారనే నమ్మకం లేకపోవడమే.
क्या यह कहना भी सही होगा?	ఇది కూడా సహేతుకమైన స్టేట్మెంట్ కదా?
हाँ।	అవును.
शुक्रिया।	థాంక్యూ.
- हाय। - हे।	- హాయ్. - హేయ్.
कैसे हो तुम?	ఎలా ఉన్నావు?
हाँ, मतलब, वे...	బాగానే ఉన్నాను, చూడు, వాళ్లు...
वे यह साबित करने के लिए दो गवाह ले आए कि मैं...	నేను దోషిని అని రుజువు చేయడం కోసం వాళ్లు ఇద్దరు సాక్షుల్ని ప్రవేశపెట్టారు...
और मैं अपनी बेगुनाही दिखाने में कुछ ज़्यादा ही आवेश में आ गया।	కానీ నా నిర్దోషిత్వాన్ని రుజువు చేసుకునే క్రమంలో నేను కొద్దిగా అత్యుత్సాహం ప్రదర్శించాను.
जो भी हो। उससे क्या होगा? केस अभी भी हमारे हाथों में है। सब ठीक है।	ఏది ఏమైనా సరే. అయితే ఏంటి? కేసు ఇంకా అనుకూలంగానే ఉంది. మనకేం ఫర్వాలేదు.
तुम फिर से ये गोलियाँ लेने लगे?	నువ్వు మళ్లీ వీటిని వాడటం మొదలుపెట్టావా?
मतलब, मुझे फ़ोकस करना है।	అంటే, నా ఏకాగ్రత కోసం.
उसके लिए मैं और क्या करता?	ఇంకెలా నేను ఏకాగ్రతతో ఉండగలను, హా?
तुम बस मुझे बता सकते थे, रस्टी।	నాకు ఒక మాట చెప్పి ఉండాల్సింది, రస్టీ.
"रस्टी सैबिच ""राज्य"" बनाम गेब्रियल एम"	"రస్టీ సాబిచ్ ""ప్రజలు"" వర్సెస్ గాబ్రియేల్ ఎమ్"
रे 'द स्ले' हॉर्गन राज्य बनाम लिव ली	రే 'హంతక' హోర్గన్ ప్రజలు వర్సెస్ లివ్ లీ
टॉमी मॉल्टो राज्य बनाम स्पेंसर स्टेफ़न	టామీ మోల్టో ప్రజలు వర్సెస్ స్పెన్సర్ స్టిఫాన్
कैरोलिन पॉलिमस राज्य बनाम लीयम रेनल्ड्स	కారొలిన్ పొలీమస్ ప్రజలు వర్సెస్ లియామ్ రేనాల్డ్స్
- बहुत बढ़िया। बहुत बढ़िया। हाँ। - ओह, हाँ। शुक्रिया।	- చాలా బాగుంది. చాలా బాగుంది. నిజం. - ఓహ్, సరే. థాంక్యూ.
सब खड़े हो जाइए।	అందరూ లేవండి.
अदालत की कार्यवाही अब शुरू की जाएगी।	కోర్టు ఇప్పుడు సెషన్ లో ఉంది.
सम्माननीय जज लिटिल की अध्यक्षता में।	గౌరవనీయులైన జడ్జ్ లిటిల్ అధ్యక్షత వహిస్తున్నారు.
बैठ जाइए।	కూర్చోండి.
ठीक है फिर, मिस्टर मॉल्टो।	సరే మరి, మిస్టర్ మోల్టో.
क्या अभियोजन पक्ष के पास कुछ और है?	ప్రభుత్వం తరపున చెప్పాల్సింది ఏమైనా ఉందా?
हाँ, योर ऑनर।	ఉంది, యువర్ హానర్.
हम रस्टी सैबिच को बुलाना चाहते हैं।	రస్టీ సాబిచ్ ని విచారించాల్సి ఉంది.
तुम वह क्या बकवास कर रहे थे?	మళ్లీ ఎందుకలా చేస్తున్నావు?
मतलब, चूँकि मिस्टर सैबिच ने डिटेक्टिव रॉड्रीगेज़ के माध्यम से अपना बयान दिया,	అంటే, డిటెక్టివ్ రోడ్రిగ్వెజ్ ద్వారా విచారణ జరపడానికి మిస్టర్ సాబిచ్ పట్టుబట్టాడు కాబట్టి,
तो उन्हें शपथ दिलाकर उनसे सवाल करना न्यायसंगत है।	అతడిని కూడా బోను ఎక్కించి క్రాస్ ఎగ్జామిన్ చేయడం సరైన పని అనిపించింది.
वहाँ तो तुमने आपत्ति नहीं की थी।	నేను అబ్జెక్షన్ అని ఏమీ వినలేదే.
मुझे ज़रूरत महसूस नहीं हुई, क्योंकि अदालत ने यह बिल्कुल साफ़ कर दिया था	అబ్జెక్షన్ చెప్పాల్సిన అవసరం నాకు కనిపించలేదు, ఎందుకంటే కోర్టు స్పష్టంగా చెప్పింది
कि अगर अभियुक्त ने अपना पक्ष रखने की कोई भी कोशिश की...	ఒకవేళ ప్రతిపాది తన వాదన వినిపించినట్లు కనీసం అనిపించినా...
नहीं, मैंने बयान नहीं दिया।	లేదు, నేను చెప్పలేదు.
मैंने तुम्हारे एक गवाह से बस कुछ सवाल पूछे थे।	మీరు పిలిపించిన సాక్షిని నేను క్రాస్ ఎగ్జామిన్ చేశానంతే.
पर तुम गवाह से हमारे पूछे गए सवालों के दायरे से बाहर चले गए।	కానీ నువ్వు సాక్షిని హద్దు మీరి ప్రశ్నలు అడిగావు.
तुमने अपनी बेगुनाही का दावा किया।	నువ్వు నిర్దోషివి అని చాటుకున్నావు.
तुमने उस गवाह को,	సాక్షిని మీరే పిలిపించారు
तुमने डिटेक्टिव को मेरा अपराध और मेरी बेईमानी साबित करने के लिए बुलाया,	ఇంకా నా తప్పుని ఇంకా నా అవినీతిని నిరూపించడం కోసం ఆ డిటెక్టివ్ ని పిలిపించావు,
और मेरे सवालों से मेरी सच्चाई और बेगुनाही पर बात हुई,	అందుకే నా నిజాయితీ, నా నిర్దోషిత్వం గురించి నా విచారణ సాగింది,
जो कि बिल्कुल मेरे दायरे के अंदर है।	అది కూడా నా పరిధికి లోబడే జరిగింది.
तुमने अपना पक्ष रखा।	నీ వాదన నువ్వు వినిపించావు.
मैंने तुम्हें चेतावनी दी थी कि अगर तुमने कोई भी ऐसी बात कही,	నిన్ను హెచ్చరించాను, నువ్వు సాక్ష్యం కాకుండా
जिसका संकेत सबूत नहीं देते...	నీ అభిప్రాయాన్ని రవ్వంత వ్యక్తం చేసినా కూడా...
तुमने बिल्कुल वही किया।	నువ్వు సరిగ్గా అదే చేశావు.
ठीक है, तुम्हारे पास दो विकल्प हैं।	సరే, నీకు రెండు అవకాశాలు ఉన్నాయి.
तुम्हें मिसट्रायल चाहिए, तो मैं तुम्हें दे दूँगी।	ఈ విచారణ చెల్లదు అంటే, అదే నేను ప్రకటిస్తాను.
बिना किसी सवाल के।	ఎలాంటి ప్రశ్నలు అడగను.
मैं तुम्हें जिरह जारी रखने के लिए मजबूर नहीं करूँगी। पर जिरह जारी रखोगे, तो तुम्हें गवाही देनी होगी।	నిన్ను కొనసాగించమని బలవంతం చేయను. కానీ మనం విచారణ కొనసాగించాలి అంటే, నువ్వు ఆ కుర్చీలో కూర్చోవాలి.
यह दरवाज़ा तुमने ख़ुद खोला है।	ఈ అవకాశాన్ని నీకు నువ్వే కల్పించుకున్నావు.
मिसट्रायल ले लो, रस्टी।	విచారణ రద్దుని ఎంచుకో, రస్టీ.
मैं बयान दूँगा।	నేను సాక్ష్యం చెబుతాను.
- माया, वे मिसट्रायल चाहते थे। - वह क्या बकवास थी?	- మైయా. మైయా, వాళ్లు విచారణ రద్దు కోరారు. - నువ్వు చేసింది ఏంటి?
- वे जानते हैं वे हार रहे हैं। - नहीं।	- ఓడుతున్నారని తెలుసు. - లేదు.
- इसीलिए उन्होंने मुझे बुलाया! - हो सकता है।	- అందుకే నన్ను సాక్షిగా పిలిచారు! - కావచ్చు, కావచ్చు.
या शायद वे तुम्हें गवाही देने इसलिए बुलाना चाहते थे,	లేదా బహుశా నిన్ను బోనులో నిలబెట్టాలని అనుకుని ఉండచ్చు,
क्योंकि वहाँ तुम उनके निशाने पर आ जाओगे।	అక్కడ నిన్ను టార్గెట్ చేయడం తేలిక అవుతుంది.
ठीक है, मुझे गवाह बनकर आने तो दो।	మంచిది, నన్ను సాక్షి కుర్చీలో కూర్చోపెట్టనివ్వు.
ठीक है। मॉल्टो की आत्ममुग्धता	ఫర్వాలేదు. మోల్టో పూర్తి స్థాయిలో
- सबके सामने आने दो। - क्यों?	- గొప్పలకి పోనివ్వు. - ఎందుకు?
और तुम्हारी नहीं आएगी?	మరి నీ గొప్పతనాన్ని ప్రదర్శించవా?
इसका क्या मतलब है?	నీ ఉద్దేశం ఏంటి?
क्या तुमने यह जानबूझकर किया है?	నువ్వు కావాలనే ఇలా చేశావు కదా?
- क्या? - वह दरवाज़ा खोला है।	- ఏంటి? - ఆ అవకాశాన్ని నువ్వే కల్పించావు.
- तुम्हें क्या लगता है... - तुमने गवाही देने की बात कही।	- నువ్వు ఏం అంటున్నావు... - నువ్వే సాక్షిగా సిద్ధమయ్యావు.
- क्या तुमने वह जानबूझकर किया? - नहीं...	- ఇది నువ్వు కావాలనే చేశావు కదా? - లేదు...
मैं ऐसा क्यों करूँगा?	నేను అలా ఎందుకు చేస్తాను?
क्योंकि तुम रस्टी सैबिच हो, और तुम जो चाहो, कर सकते हो, है ना?	ఎందుకంటే నువ్వు రస్టీ సాబిచ్ వి కాబట్టి, ఇంకా నువ్వు ఏం కావాలంటే అది చేయగలవు కాబట్టి, కదా?
माया, यह भी हो सकता है... शायद यह भी हो सकता है कि...	మైయా, బహుశా... కేవలం నేను చేసి ఉండచ్చు...
मैंने वह किया क्योंकि मैं जानता हूँ कि मैं क्या कर रहा हूँ।	నేను చేసి ఉండచ్చు ఎందుకంటే నేను ఏం చేస్తున్నానో నాకు తెలుసు.
मुझे ऐसा नहीं लगता।	నేను అలా అనుకోవడం లేదు.
मुझसे अब और नहीं होगा।	నేను ఇంక విరమించుకుంటున్నాను.
तो, रस्टी सैबिच ख़ुद अपने बचाव में गवाही देंगे,	కాబట్టి, రస్టీ సాబిచ్ తన తరపున తనే వాదించుకోబోతున్నాడు,
जिसका मतलब है, वह इस केस में सिर्फ़ एक अभियुक्त ही नहीं, वकील भी होंगे।	అంటే అతను కేవలం ప్రతివాదిగానే కాకుండా, లాయర్ గా కూడా వ్యవహరించబోతున్నాడు.
और अब वह एक गवाह भी बनने जा रहे हैं।	అతనే సాక్షిగా కూడా ఉండబోతున్నాడు.
क्या?	ఏంటి?
उनके साथ कोई सहयोगी नहीं होगा,	అతనికి సహాయకులుగా కూడా ఎవరూ ఉండటం లేదు,
जिसका मतलब है कि वह यह मुक़दमा अकेले ही लड़ेंगे।	దాని అర్థం అతను ఒంటరిగా ఈ కేసులో పోరాడబోతున్నాడు.
प्रमुख कारक : कोई साथी वकील नहीं रेमंड हॉर्गन के स्वास्थ्य की स्थिति अस्पष्ट	ముఖ్యాంశాలు: కో-కౌన్సెల్ లేరు రేమండ్ హోర్గన్ ఆరోగ్యంపై స్పష్టత లేదు
इस मुक़दमे में अब काफ़ी कुछ उन पर निर्भर करता है।	ఈ కేసు విచారణలో భారం అంతా అతని భుజం మీదనే ఉంటుంది.
ऐसा लग रहा है कि सैबिच के पास अब कोई और रास्ता नहीं है।	చూడబోతే సాబిచ్ తనకి తానుగా ఈ కేసులో ఇరుక్కుపోయాడు అనిపిస్తోంది.
और मुझे नहीं पता कि अब किसी चमत्कार के अलावा...	కానీ ఏదో అద్భుతం జరిగితే తప్ప...
ओह, भगवान, रस्टी।	ఓహ్, దేవుడా, రస్టీ.
...कुछ भी उन्हें इस मुसीबत से निकाल सकता है या नहीं।	...అతను ఈ కేసు నుండి బయటపడే అవకాశం కనిపించడంలేదు.
अन्य ख़बरों में...	మిగతా వార్తల విషయానికొస్తే...
गोलियाँ। कैसी गोलियाँ?	మందులు. ఏ రకమైన మందులు?
- वह रिटलिन ले रहे हैं। - तुम सच कह रहे हो?	- నాన్న రిటాలిన్ వాడుతున్నాడు. - నిజంగా చెబుతున్నావా?
हाँ, मैंने मॉम को उनकी थेरेपिस्ट से बात करते हुए सुना,	అవును, అమ్మ తన థెరపిస్ట్ తో ఫోనులో మాట్లాడుతుంటే విన్నా,
और शायद डैड पहले भी बड़े मुक़दमों के दौरान वे गोलियाँ लेते रहे हैं।	నాన్న గతంలో పెద్ద కేసుల విచారణ సమయంలో ఈ మందులు తీసుకునేవాడు అనుకుంటా.
